oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
17,163,2016,2016.0,19.12,4,0,2,632000.0,4.0,0,115599.0,23.0,13.0,11.0,0,7
17,180,2015,2016.0,22.41,4,1,1,645000.0,5.0,0,43469.0,24.0,12.0,11.0,3,7
6,56,2005,2005.0,13.8,4,1,4,500000.0,5.0,0,70000.0,12.0,9.0,6.0,2,7
1,23,2019,2019.0,13.38,1,0,2,6795000.0,8.0,0,77000.0,38.0,14.0,23.0,0,8
17,183,2018,2018.0,24.3,1,1,1,850000.0,5.0,0,100000.0,23.0,9.0,7.0,0,8
21,220,2008,2008.0,14.7,4,1,1,299000.0,5.0,0,72000.0,17.0,11.0,6.0,2,7
11,99,2013,2013.0,16.36,1,0,1,2095000.0,8.0,0,77000.0,29.0,14.0,12.0,0,7
0,10,2013,2013.0,12.07,1,0,1,2800000.0,8.0,0,87101.0,30.0,13.0,17.0,0,8
29,300,2021,2021.0,18.24,4,1,2,999000.0,6.0,0,40771.0,27.0,13.0,15.0,2,2
8,66,2018,2018.0,18.7,4,1,1,825000.0,5.0,0,28000.0,22.0,12.0,13.0,0,2
17,184,2008,2008.0,18.9,4,1,3,250000.0,5.0,0,40000.0,10.0,5.0,4.0,0,2
9,85,2020,2020.0,18.15,4,0,1,1295000.0,7.0,0,26000.0,35.0,12.0,18.0,0,8
17,184,2012,2012.0,18.9,4,1,1,329000.0,5.0,0,76032.0,16.0,8.0,10.0,0,2
17,163,2018,2018.0,21.56,4,1,1,666000.0,5.0,0,113780.0,27.0,12.0,11.0,0,7
0,1,2019,2020.0,20.38,1,0,1,2290000.0,6.0,0,24000.0,32.0,14.0,17.0,2,7
9,85,2020,2020.0,23.7,1,1,2,1026000.0,6.0,0,65812.0,36.0,13.0,20.0,2,8
26,246,2022,2022.0,17.2,4,0,1,1700000.0,6.0,0,10000.0,30.0,11.0,21.0,2,8
17,157,2016,2016.0,21.4,4,1,1,681000.0,5.0,0,39959.0,27.0,12.0,13.0,3,2
9,71,2022,2022.0,14.2,4,0,1,1689999.9999999998,6.0,0,10000.0,32.0,16.0,22.0,2,8
17,156,2016,2017.0,24.39,4,1,3,318000.0,5.0,0,65484.0,20.0,6.0,5.0,2,2
17,157,2017,2017.0,21.4,4,1,1,688000.0,5.0,0,49174.0,27.0,12.0,13.0,0,2
29,302,2022,2022.0,20.08,4,1,1,1300000.0,6.0,0,20000.0,26.0,9.0,11.0,2,8
9,89,2009,2009.0,20.36,4,1,1,265000.0,5.0,0,50000.0,10.0,7.0,2.0,2,2
17,180,2018,2018.0,22.0,4,0,2,645000.0,5.0,0,40000.0,30.0,13.0,10.0,2,7
9,71,2022,2022.0,14.2,4,0,1,2000000.0,6.0,0,30000.0,32.0,16.0,22.0,2,8
1,14,2007,2007.0,10.9,4,0,3,900000.0,6.0,0,50000.0,26.0,12.0,12.0,2,1
17,179,2020,2020.0,21.21,4,1,1,620000.0,5.0,0,80000.0,29.0,12.0,11.0,2,2
19,119,2022,2022.0,15.43,4,1,1,1470000.0,5.0,0,20000.0,39.0,11.0,23.0,2,8
9,70,2010,2010.0,13.2,0,1,1,220000.00000000003,5.0,0,70000.0,13.0,7.0,6.0,2,7
