oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
19,110,2014,2014.0,13.24,3,1,2,630000.0,5.0,0,83394.0,2.7659574468085104,4.705882352941177,0.3846153846153846,1,4
13,73,2017,2017.0,24.39,3,1,1,385000.0,5.0,0,52204.0,4.042553191489362,2.941176470588235,1.5384615384615383,2,0
8,54,2012,2012.0,17.0,3,1,3,300000.0,5.0,0,110000.0,3.404255319148936,6.470588235294118,3.076923076923077,2,0
13,72,2014,2014.0,22.05,3,1,2,276000.0,5.0,0,29813.0,3.404255319148936,2.941176470588235,1.5384615384615383,0,0
6,25,2018,2018.0,18.16,3,1,1,500000.0,5.0,0,30000.0,4.893617021276596,5.294117647058824,3.4615384615384617,2,0
13,83,2020,2020.0,20.89,3,0,1,730000.0,5.0,0,13345.0,4.680851063829787,5.294117647058824,4.230769230769231,0,0
8,43,2014,2014.0,18.9,3,1,1,399000.0,5.0,0,75000.0,3.404255319148936,4.705882352941177,3.076923076923077,0,0
8,53,2011,2011.0,20.36,3,1,2,312000.0,5.0,0,75523.0,2.127659574468085,4.11764705882353,1.5384615384615383,0,0
21,125,2022,2022.0,16.35,1,1,1,1990000.0,6.0,0,36500.0,4.468085106382979,6.470588235294118,5.769230769230769,0,4
8,39,2016,2016.0,19.67,1,1,1,1260000.0,6.0,0,50000.0,4.893617021276596,5.882352941176471,5.769230769230769,2,4
8,53,2010,2010.0,20.36,3,1,2,300000.0,5.0,0,90000.0,1.9148936170212765,3.5294117647058827,0.7692307692307694,2,0
8,54,2016,2016.0,18.6,3,1,1,627000.0,5.0,0,52571.0,4.893617021276596,5.882352941176471,4.230769230769231,0,0
1,3,2010,2010.0,16.07,1,0,2,1300000.0,6.0,0,70000.0,5.1063829787234045,6.470588235294118,5.0,2,3
7,30,2015,2015.0,17.4,3,1,1,672000.0,5.0,0,61993.0,4.680851063829787,5.294117647058824,2.6923076923076925,0,3
8,48,2017,2017.0,16.38,1,0,1,1825000.0,6.0,0,57000.0,7.021276595744681,8.23529411764706,6.923076923076923,0,4
